电影名称,评分,评价人数	
﻿肖申克的救赎,9.6,1056891人	
霸王别姬,9.5,770031人	
这个杀手不太冷,9.4,986399人	
阿甘正传,9.4,839784人	
美丽人生,9.5,490980人	
千与千寻,9.3,786841人	
泰坦尼克号,9.3,778988人	
辛德勒的名单,9.4,445638人	
盗梦空间,9.3,875226人	
机器人总动员,9.3,574298人	
三傻大闹宝莱坞,9.2,788605人	
海上钢琴师,9.2,672142人	
忠犬八公的故事,9.2,547874人	
放牛班的春天,9.2,528441人	
大话西游之大圣娶亲,9.2,578714人	
楚门的世界,9.1,552487人	
龙猫,9.1,488237人	
教父,9.2,395560人	
星际穿越,9.2,579863人	
熔炉,9.2,321178人	
触不可及,9.2,429336人	
乱世佳人,9.2,306544人	
无间道,9.1,472399人	
当幸福来敲门,8.9,624586人	
怦然心动,8.9,657651人	
﻿天堂电影院,9.1,344925人	
十二怒汉,9.4,196186人	
少年派的奇幻漂流,9.0,656235人	
蝙蝠侠：黑暗骑士,9.1,380750人	
鬼子来了,9.2,268615人	
搏击俱乐部,9.0,442036人	
活着,9.1,316650人	
指环王3：王者无敌,9.1,322585人	
疯狂动物城,9.1,608575人	
天空之城,9.0,379728人	
大话西游之月光宝盒,8.9,466040人	
罗马假日,8.9,436576人	
飞屋环游记,8.9,568770人	
控方证人,9.6,119307人	
窃听风暴,9.1,256782人	
两杆大烟枪,9.1,302677人	
飞越疯人院,9.0,307716人	
闻香识女人,8.9,369063人	
哈尔的移动城堡,8.9,406089人	
辩护人,9.1,246447人	
海豚湾,9.3,200174人	
V字仇杀队,8.8,477602人	
死亡诗社,9.0,317799人	
教父2,9.1,213369人	
美丽心灵,8.9,342018人	
﻿指环王2：双塔奇兵,9.0,303230人	
指环王1：魔戒再现,8.9,339464人	
饮食男女,9.1,231814人	
情书,8.8,421704人	
摔跤吧！爸爸,9.1,540463人	
美国往事,9.1,196560人	
狮子王,8.9,316968人	
钢琴家,9.0,225588人	
素媛,9.1,213696人	
天使爱美丽,8.7,530787人	
七宗罪,8.7,478218人	
小鞋子,9.2,158827人	
被嫌弃的松子的一生,8.9,331359人	
致命魔术,8.8,385084人	
音乐之声,8.9,256619人	
本杰明·巴顿奇事,8.8,436966人	
勇敢的心,8.8,320681人	
西西里的美丽传说,8.8,397869人	
剪刀手爱德华,8.7,535004人	
低俗小说,8.8,374606人	
黑客帝国,8.8,315367人	
拯救大兵瑞恩,8.9,269376人	
看不见的客人,8.7,400307人	
沉默的羔羊,8.7,392267人	
让子弹飞,8.7,695788人	
﻿蝴蝶效应,8.7,424296人	
入殓师,8.8,344206人	
春光乍泄,8.8,278181人	
大闹天宫,9.3,115758人	
玛丽和马克思,8.9,248410人	
末代皇帝,9.0,198081人	
心灵捕手,8.8,303392人	
阳光灿烂的日子,8.8,300823人	
幽灵公主,8.8,260523人	
第六感,8.8,258793人	
重庆森林,8.7,369422人	
布达佩斯大饭店,8.8,358625人	
禁闭岛,8.7,400609人	
哈利·波特与魔法石,8.7,295109人	
狩猎,9.0,147645人	
大鱼,8.7,277912人	
猫鼠游戏,8.8,261405人	
致命ID,8.7,353085人	
断背山,8.7,352853人	
射雕英雄传之东成西就,8.7,303797人	
甜蜜蜜,8.8,253605人	
一一,8.9,170778人	
告白,8.7,376092人	
阳光姐妹淘,8.8,296222人	
加勒比海盗,8.6,382881人	
